FEN,Moves
r3qkn1/2p2rb1/3pBn2/1p1Pp1Q1/1PP1Pp2/2N4R/5PPP/5RK1 w - - 0 27,"[None, 'c4b5', 'a8a3', 'e6f7', 'e8f7']"
4qkn1/2p2rb1/3pBn2/1P1Pp1Q1/1P2Pp2/2r4R/5PPP/2R3K1 w - - 0 29,"[None, 'h3c3', 'f6e4', 'e6f7', 'e8a8', 'c3c7']"
4qkn1/2p2rb1/3pBn2/1P1Pp1Q1/1P2Pp2/2R5/5PPP/2R3K1 b - - 0 29,"[None, 'f6e4', 'e6f7']"
4qkn1/2p2rb1/3pB3/1P1Pp3/1P3p1Q/2n5/5PPP/2R3K1 w - - 0 31,"[None, 'c1c3', 'g8f6']"
2n2k2/8/3p1b2/1P1qp3/1P3pQ1/8/4KPPP/8 w - - 0 37,"[None, 'g4c8', 'f8g7']"
8/8/2qp1b2/1P2p1k1/1P3p2/8/4KPPP/8 w - - 0 43,"[None, 'b5c6', 'f6d8']"
r1b2rk1/p1bnqppp/1pp1p3/2Pn4/1P1P4/P1NB1N2/5PPP/R1BQR1K1 w - - 0 14,"[None, 'c3d5']"
r1b2rk1/p1b1qp1p/1pp1pnp1/2Pn2B1/1P1P4/P1NB1N2/2Q2PPP/R3R1K1 w - - 2 16,"[None, 'c3d5']"
r4rk1/pbb1qp1p/1pp1pnp1/2PnN1B1/1P1P4/P1NB4/2Q2PPP/R3R1K1 w - - 4 17,"[None, 'c3d5', 'e6d5', 'e5g6', 'c7h2', 'g1h1', 'e7e1', 'a1e1', 'f7g6', 'd3g6', 'f6e4', 'e1e4']"
r4rk1/pbb1qp1p/4pnp1/1PppN1B1/3P4/P2B4/2Q2PPP/R3R1K1 w - - 0 19,"[None, 'e5g4', 'f6g4', 'g5e7', 'c5c4']"
r4rk1/p3qp1p/2b1pnp1/bPPp2B1/8/P2B4/2Q2PPP/R3R1K1 w - - 0 21,"[None, 'b5c6', 'h7h6', 'g5h6', 'f8c8']"
r4rk1/p3qp1p/2P1pnp1/2Pp2B1/8/P2B4/2Q2PPP/R3b1K1 w - - 0 22,"[None, 'a1e1', 'a8c8']"
r5k1/p3qp1p/2r1pnp1/2Pp2B1/8/P2B4/1Q3PPP/4R1K1 w - - 0 24,"[None, 'g5f6']"
2r3k1/p4p1p/4p1p1/q2pB3/8/P2BQ2P/5PP1/2r1R1K1 w - - 3 29,"[None, 'e1c1', 'c8c1', 'e3c1', 'a5d8']"
6k1/p4p1p/4p1p1/q2pB3/8/P2BQ2P/5PP1/2r3K1 w - - 0 30,"[None, 'e3c1', 'a5d8', 'd3g6', 'f7g6']"
6k1/p4p1p/4p1p1/3pB3/8/q2B3P/5PP1/2Q3K1 w - - 0 31,"[None, 'c1a3', 'f7f6', 'e5f6', 'e6e5', 'a3e7', 'g6g5', 'd3h7']"
r2qkbnr/pp2pppp/2n5/2PpP3/6P1/3b1N1P/PPP2P2/RNBQK2R w KQkq - 0 9,"[None, 'c2d3', 'h7h5']"
4r1k1/p4pp1/PpN2q1b/1P2p2P/2P3r1/5P1P/8/R5RK w - - 0 37,"[None, 'h3g4', 'f6h4']"
r2qk2r/1pp2p2/pnb1p2p/3nP1p1/P2P4/2bB1NB1/1P3PPP/2RQ1RK1 w kq - 0 15,"[None, 'b2c3']"
r2qk2r/2p2p2/p1b1p2p/2NnP1p1/2nP4/1Q4B1/5PPP/2R2RK1 w kq - 0 22,"[None, 'b3c4', 'c6b5']"
r2qk2r/2p2p2/p3p2p/2NnP1p1/3P4/1Q4B1/5PPP/2R2bK1 w kq - 0 24,"[None, 'c1f1', 'a8b8']"
1r2k2r/2p2p2/p3p2p/1qN1P1p1/3P1P2/5Qn1/6PP/5R1K w k - 0 31,"[None, 'h2g3', 'g5g4']"
1r2k2r/2p2p2/p3p2p/2N1P3/2qP1Pp1/6P1/5QP1/5R1K w k - 2 33,"[None, 'f4f5', 'b8b2', 'f2b2']"
4k2r/2p2p2/p3p2p/2N1PP2/1rqP2p1/6P1/5QP1/5RK1 b k - 0 34,"[None, 'c4d4', 'f2d4']"
4k2r/2p2p2/p3p2p/2N1PP2/1r1q2p1/6P1/5QP1/5RK1 w k - 0 35,"[None, 'f2d4']"
4k3/2p1r3/N3P2p/8/6p1/6P1/6P1/5rK1 w - - 0 41,"[None, 'g1f1', 'e8d8']"
r2q1rk1/1pp2ppp/8/p1b1n2b/4n3/P3P1PP/1PPB1PBN/R3QRK1 w - - 0 15,"[None, 'g2e4', 'e5c4']"
r2qr1k1/1p3ppp/2p5/p1b4b/2n5/P1B1PNPP/1PP2PB1/R3QRK1 b - - 3 18,"[None, 'c4e3', 'f2e3', 'e8e3', 'e1e3']"
r3r1k1/5ppp/2p2q2/ppb4b/2n5/P1B1PNPP/1PP2PB1/3RQRK1 w - - 2 20,"[None, 'c3f6', 'g7f6']"
r2qk2r/1p1n1pp1/p2bpn1p/1B1pNb2/P2P4/2N1P3/1P3PPP/R1BQ1RK1 w kq - 0 11,"[None, 'e5d7']"
r2qk2r/1p1n1pp1/p2bpn1p/3pN3/P2P4/2NbP3/1P3PPP/R1BQ1RK1 w kq - 0 12,"[None, 'e5d3', 'a8c8']"
r2qnrk1/1p1n1pp1/p2bp2p/3pN3/P2P4/1PNQP3/5PPP/R1B2RK1 w - - 1 14,"[None, 'e5d7']"
r2qnrk1/1p1n1pp1/p3p2p/3pN3/P2P4/bPNQP3/5PPP/R4RK1 w - - 0 15,"[None, 'e5d7', 'd8d7', 'a1a3', 'd7d6']"
r4rk1/2R3p1/p4p1p/Pp1n4/8/4P3/5PPP/3R2K1 w - - 0 30,"[None, 'd1d5', 'a8c8']"
rr1k4/5RR1/p4p1p/P7/1p6/4P3/5PPP/6K1 b - - 6 35,"[None, 'd8e8', 'f7c7', 'e8f8', 'c7f7', 'f8e8']"
r1b2rk1/ppqnbppp/2p4B/4p2n/1P2P3/2P3QP/P2NBPP1/R3K1NR w KQ - 5 13,"[None, 'e2h5', 'e7f6']"
2rr2k1/pp3ppp/4bb2/1P2p3/P3P3/4BNQP/1q1N1PP1/3B1RK1 w - - 6 25,"[None, 'e3a7', 'd8d2', 'f3d2']"
3r2k1/pp3ppp/4bb2/1P2p3/P3P3/4BNQP/1q1NBPP1/2r2RK1 w - - 8 26,"[None, 'f1c1']"
3r2k1/pp3pp1/4b2p/1P2b3/P3P3/4B1QP/3N1PP1/2q2BK1 w - - 0 29,"[None, 'g3e5']"
6k1/pp3pp1/4b2p/1P6/P3PQ2/4B2P/3r1PP1/2q2BK1 w - - 0 31,"[None, 'e3d2', 'c1b1']"
rnbqk2r/pp2bppp/8/3p4/8/2N2Q2/PP1P1PPP/R1B1K1NR w KQkq - 2 9,"[None, 'c3d5', 'c8d7', 'd5e7']"
r2qr1k1/p4ppp/4b3/1p1N4/3b4/2NP1Q2/PP3PPP/4RRK1 w - - 2 17,"[None, 'c3b5', 'e6d5', 'e1e8']"
r2qr1k1/p4ppp/8/3b4/1p1b4/3P1Q1P/PP2NPP1/4RRK1 w - - 0 19,"[None, 'e2d4', 'e8e1', 'f1e1']"
r3r1k1/p4ppp/1q6/3b4/1p1b1P2/3P2QP/PP2N1P1/4RR1K w - - 3 22,"[None, 'e2d4']"
2r1r1k1/p4ppp/1q6/3b4/1p1b1P2/1P1P2QP/P3N1P1/4RR1K w - - 1 23,"[None, 'e2d4']"
2r3k1/pb3ppp/2q2b2/8/1p3NQ1/1P1P3P/P5P1/4r1RK w - - 0 28,"[None, 'g1e1', 'g7g6']"
3r2k1/pb3ppp/5b2/3q3N/1p4Q1/1P1P3P/P5P1/4R2K w - - 3 30,"[None, 'h5f6', 'g8h8', 'f6d5', 'b7d5', 'g4d7', 'd8g8', 'd7d5', 'f7f6']"
3r2k1/pb3ppp/5N2/3q4/1p4Q1/1P1P3P/P5P1/4R2K b - - 0 30,"[None, 'g8h8', 'f6d5', 'b7d5', 'g4d7']"
3r3k/pb3ppp/5N2/3q4/1p4Q1/1P1P3P/P5P1/4R2K w - - 1 31,"[None, 'f6d5', 'b7d5']"
3r3k/p3Rppp/8/8/1p4Q1/1P1P3P/P5b1/7K w - - 0 33,"[None, 'h1g2', 'h8g8', 'e7a7', 'd8f8']"
7k/p3Rppp/8/8/1p4Q1/1P1r3P/P5K1/8 w - - 0 34,"[None, 'e7e8']"
r1bqkbnr/pp2p1pp/8/3N4/2Bnp3/8/PP3PPP/R1BQK2R w KQkq - 0 9,"[None, 'd1d4', 'g8f6']"
r2qkbnr/pp2p1pp/8/3N1b2/2BQp3/8/PP3PPP/R1B1K2R w KQkq - 1 10,"[None, 'c1f4', 'e7e6', 'd5c7', 'e8f7', 'd4e5', 'd8f6', 'c7a8', 'f8b4']"
r2qkb1r/pp2p1pp/5n2/3N1b2/2BQpB2/8/PP3PPP/R3K2R w KQkq - 3 11,"[None, 'd5c7', 'd8c7', 'f4c7', 'e7e6']"
r3kb1r/ppq1p1pp/5n2/5b2/2BQpB2/8/PP3PPP/R3K2R w KQkq - 0 12,"[None, 'f4c7', 'a8c8']"
r4rk1/ppbq1ppp/2p3b1/3nPn2/3P2Q1/2N1BN1P/PP3PP1/RB3RK1 w - - 11 18,"[None, 'c3d5', 'c6d5', 'f3h4', 'h7h5', 'b1f5', 'h5g4', 'f5d7', 'g6d3', 'd7g4', 'd3e4']"
r4rk1/ppbq1ppp/6b1/3pPn2/3P2Q1/4BN1P/PP3PP1/RB3RK1 w - - 0 19,"[None, 'f3h4', 'f5e3', 'g4d7', 'e3f1', 'h4g6', 'h7g6', 'g1f1', 'c7b6']"
3r1rk1/ppbq2pp/5pb1/3pPn2/3P4/4B2P/PP3PPN/RB1Q1RK1 w - - 0 21,"[None, 'b1f5']"
3r1rk1/ppbq2pp/5pb1/3pP3/3P2N1/4n2P/PP3PP1/RB1Q1RK1 w - - 0 22,"[None, 'f2e3', 'g6b1', 'a1b1', 'f6e5', 'f1f8', 'd8f8', 'g4e5', 'd7f5']"
3r1rk1/ppbq2pp/5pb1/3pP3/3P2N1/4P2P/PP4P1/RB1Q1RK1 b - - 0 22,"[None, 'g6b1', 'a1b1', 'f6e5', 'f1f8']"
3r1rk1/ppbq2pp/6b1/3pp3/3P2N1/4P2P/PP4P1/RB1Q1RK1 w - - 0 23,"[None, 'f1f8', 'd8f8', 'b1g6']"
r2q1rk1/p4ppp/3bpn2/3p1b2/3p4/1N2PNB1/PP3PPP/1R1QK2R w K - 0 13,"[None, 'g3d6']"
r1r3k1/p4ppp/3bpn2/q2p1b2/3N4/4P1B1/PP1N1PPP/1R1QK2R w K - 3 15,"[None, 'd4f5', 'd6b4']"
r5k1/p4ppp/4pn2/q2p1b2/1b1N4/4P1B1/PP1N1PPP/2rQ1RK1 w - - 0 17,"[None, 'd1c1']"
3qr1k1/p4ppp/2Q1pn2/3pBb2/3N4/4P3/PP1b1PPP/5RK1 w - - 6 21,"[None, 'd4f5', 'e6f5', 'e5f6']"
3qr1k1/p4ppp/4p3/b2pnb2/Q6N/4P3/PP3PPP/5RK1 w - - 0 24,"[None, 'h4f5']"
4r1k1/p4ppp/1b2q3/1Q1p1p2/2n5/4P2P/P4PPK/8 w - - 0 31,"[None, 'b5b6']"
4r1k1/p4ppp/1b6/1Q1p1p2/2n5/4qPPP/P6K/8 w - - 0 33,"[None, 'b5e8']"
r1bqk2r/1p1n1pp1/p1pp4/3Pp2P/2P1P3/2NB4/PP3PP1/R1bQR1K1 w kq - 0 14,"[None, 'a1c1', 'c6c5']"
r1b1k2r/1p3pp1/p1pp4/3Pp2n/2P1P2q/2N1Q3/PP2BPP1/R3R1K1 w kq - 0 17,"[None, 'e2h5', 'e8f8']"
1k1r3r/1p3pp1/p4q2/2Qpp3/b3P3/3K1P2/1P2N1P1/2R1R3 w - - 0 29,"[None, 'e4d5', 'd8d5', 'c5d5', 'h8d8']"
r2q1rk1/p1p1bppp/1pb1p3/2PpN3/3PnP2/1P2P3/P5PP/RNBQ1RK1 w - - 0 12,"[None, 'e5c6', 'd8d7', 'c6e7', 'd7e7']"
r4rk1/p1pqbppp/1pN1p3/2Pp4/3PnP2/1P2P3/P5PP/RNBQ1RK1 w - - 1 13,"[None, 'c6e7']"
2r1qrk1/p5pp/1p2p3/3p1p2/1b1PnP2/PP2PN2/6PP/RN1Q1RK1 w - - 0 19,"[None, 'a3b4', 'e8e7']"
2rr2k1/R6p/1p2p1p1/3pNp1Q/1q1PnP2/1P2P3/6PP/1N3RK1 w - - 0 23,"[None, 'h5h7', 'g8f8']"
2rr3k/R3N2p/1p2pn2/3p1p1Q/1q1P1P2/1P2P3/6PP/1N3RK1 w - - 3 25,"[None, 'h5h6', 'f6d7', 'a7d7', 'b4e7', 'd7e7', 'b6b5', 'h6h7']"
2r2r1k/R3NQ1p/1p2pn2/3p1p2/1q1P1P2/1P2P3/6PP/1N3RK1 w - - 5 26,"[None, 'e7g6', 'h7g6', 'f7g7']"
r4rk1/p4ppp/b1n2n2/q1b1p3/Q1p5/2N1PN2/PP2BPPP/R1B2RK1 w - - 4 12,"[None, 'a4c6', 'f8d8']"
2r2rk1/p4ppp/b1Q2n2/q1b1p3/2p5/2N1PN2/PP2BPPP/R1B2RK1 w - - 1 13,"[None, 'c6a4', 'c5b4', 'a4a5']"
2r2rk1/p4ppp/b4n2/2b1p3/q1p5/2N1PN2/PP2BPPP/R1B2RK1 w - - 0 14,"[None, 'c3a4', 'c5d6']"
2r2rk1/p4ppp/b4n2/2b1p3/N7/2p1PN2/PP2BPPP/R1B2RK1 w - - 0 15,"[None, 'e2a6', 'c3b2', 'c1b2', 'c8b8', 'b2e5', 'c5a3']"
2rr2k1/p4ppp/1b3n2/1B2p3/N7/B1P1PN2/P4PPP/R4RK1 w - - 3 19,"[None, 'a4b6']"
2r3k1/p4ppp/1b3n2/1B1rN3/N7/B1P1P3/P4PPP/R4RK1 w - - 1 20,"[None, 'a4b6']"
6k1/1B3ppp/1p3n2/3rN3/8/r1P1P3/P4PPP/R4RK1 w - - 0 23,"[None, 'b7d5']"
6k1/3R2pp/1p6/4R3/8/2r1P3/5PPP/6K1 w - - 0 29,"[None, 'e5e8']"
2kr1bnr/pppqpppp/2n5/3b4/3PP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 1 7,"[None, 'e4d5', 'g8f6', 'd5c6', 'd7c6']"
2kr2nr/pp1q1ppp/2nbp3/1B6/3P1B2/2N2N2/PP3PPP/R2Q1RK1 w - - 2 12,"[None, 'f4d6', 'g8f6']"
2kr2nr/pp1q1ppp/2n1p3/1B2b3/3P1B2/2N5/PP3PPP/R2Q1RK1 w - - 0 13,"[None, 'b5c6', 'e5f4', 'c6d7', 'd8d7']"
2kr3r/pp1qn1pp/2n1pp2/1B2B3/3P4/2N5/PP3PPP/2RQ1RK1 w - - 0 15,"[None, 'b5c6']"
2kr4/pp4pp/2n2p2/1N2p3/8/6B1/PP1r1PPP/2R2RK1 w - - 4 21,"[None, 'b5a7', 'c8d7', 'a7c6']"
2kr4/1p4pp/p4p2/4p3/8/2N3B1/PP1rnPPP/1RR3K1 w - - 4 24,"[None, 'c3e2', 'c8b8']"
3r4/kp4pp/p4p2/4p3/8/2N3B1/PP3PPP/1R1r2K1 w - - 0 27,"[None, 'c3d1', 'b7b5']"
r2q1rk1/pp3ppp/2nbpn2/3p4/3P4/1PP2b2/PBQNBPPP/R3K2R w KQ - 0 11,"[None, 'd2f3', 'f6e4']"
1r1q1rk1/1p3ppp/2nbp3/p2p4/3Pn3/1PPB1N2/PBQ2PPP/R4RK1 w - - 2 14,"[None, 'd3e4']"
1r5k/2q2prp/3bpQ2/p7/3n3N/1Pp3P1/P4P1P/R4RK1 w - - 2 24,"[None, 'f6d4', 'b8b4']"
rn1qkbnr/pp2pppp/2p5/8/4P3/1P3b1P/2PP1PP1/RNBQK2R w KQkq - 0 7,"[None, 'd1f3', 'c6c5']"
r2qkb1r/pp1n1ppp/5B2/2p5/4P3/1P3Q1P/2P2PP1/RN3RK1 b kq - 0 12,"[None, 'd8f6', 'f3f6']"
r2qkbnr/pp2pppp/2n5/2ppP3/3P4/2P2b1P/PP3PP1/RNBQKB1R w KQkq - 0 7,"[None, 'd1f3', 'e7e6']"
r2qkb1r/pp3ppp/2n1p3/3pPn2/8/2NBB2P/PP3PP1/R2QK2R w KQkq - 2 13,"[None, 'd3f5', 'd5d4', 'e3d4', 'd8d4', 'd1d4']"
r2qk2r/pp2bppp/2n1p3/3pPn2/8/2NB3P/PP1B1PP1/R2QK2R w KQkq - 4 14,"[None, 'd3f5']"
2r2rk1/pp3ppp/4p3/2bpPn2/3n1P1q/3B3P/PP1BN1P1/2R1QR1K b - - 10 19,"[None, 'd4e2', 'e1h4']"
2r2rk1/pp3ppp/4p3/2bpPn2/5P1q/3B3P/PP1Bn1P1/2R1QR1K w - - 0 20,"[None, 'd3e2', 'g7g5']"
2r2rk1/pp3ppp/4p3/2bpPn2/5P2/7P/PP1BB1P1/2R1qR1K w - - 0 21,"[None, 'd2e1', 'c5d4']"
1r4k1/5pp1/pb2p2p/1p1pP3/1P1n1P2/P3B2P/6PK/3BR3 w - - 2 29,"[None, 'e3d4']"
1r4k1/5pp1/pb2p2p/1p1pP3/1P3PP1/P3Bn1P/7K/3BR3 w - - 1 30,"[None, 'd1f3', 'b6e3', 'e1e3', 'g7g5', 'f4g5', 'h6g5']"
1r4k1/5pp1/p3p2p/1p1pP3/1P3PP1/P3bB1P/7K/4R3 w - - 0 31,"[None, 'e1e3', 'b8c8']"
7R/8/p1r1p1k1/1p6/1P1p3P/P4B1K/8/8 w - - 0 45,"[None, 'f3c6', 'g6f5']"
3R4/8/p1r3k1/1p2p3/1P1p3P/P4B1K/8/8 w - - 0 46,"[None, 'f3c6', 'g6f5']"
3R4/8/p1r5/1p2pk1P/1P1p4/P4B1K/8/8 w - - 1 47,"[None, 'f3c6', 'd4d3', 'd8d3', 'f5g5']"
r3kb1r/p2n1ppp/bp1P1n2/q7/1pP2B2/P1NBPN2/5PPP/R2Q1RK1 w kq - 0 13,"[None, 'a3b4', 'a5b4', 'a1a6', 'f8d6', 'f4d6', 'd7c5']"
r3kb1r/p2n1ppp/bp1P1n2/q7/1PP2B2/2NBPN2/5PPP/R2Q1RK1 b kq - 0 13,"[None, 'a5b4', 'a1a6', 'f8d6', 'a6a4', 'b4a4', 'd1a4', 'd6f4', 'd3c2', 'f4h2', 'g1h2']"
r3kb1r/p2n1ppp/bp1P1n2/8/1qP2B2/2NBPN2/5PPP/R2Q1RK1 w kq - 0 14,"[None, 'a1a6', 'f8d6', 'f4d6']"
2kr1b1r/p2n1ppp/1p1P1n2/8/2P2B2/2qBPN2/5PPP/2RQ1RK1 b - - 3 16,"[None, 'c3c1', 'd1c1']"
2kr1b1r/p4ppp/1p1P1n2/2n5/5B2/3qPN2/4QPPP/2R2RK1 w - - 0 19,"[None, 'e2d3', 'f8d6', 'f4d6', 'h8e8', 'c1c5', 'b6c5']"
2kr3r/p4ppp/1p1b1n2/2n5/5B2/3QPN2/5PPP/2R2RK1 w - - 0 20,"[None, 'f4d6', 'h8e8', 'c1c5']"
3R3r/p4ppp/Qp3n2/2b2kN1/5B2/4P3/5PPP/6K1 b - - 0 24,"[None, 'h8d8', 'g2g4', 'f5g4', 'a6e2', 'g4f5', 'e2c2', 'f5g4', 'c2e2']"
4Q3/p5pk/1p5p/2b1N3/5n2/4P2P/5PPK/3r4 w - - 0 31,"[None, 'e3f4', 'd1e1']"
5N1Q/6p1/1p3r1p/5k2/5P2/p5PP/5PK1/8 w - - 0 39,"[None, 'h8h7', 'g7g6', 'h7e7', 'a3a2', 'e7e5']"
2k5/3r3P/8/5Q2/8/6P1/1p3PK1/8 w - - 0 53,"[None, 'h7h8q', 'c8c7', 'f5c5', 'c7b7', 'h8c8']"
7Q/2kr4/8/5Q2/8/6P1/1p3PK1/8 w - - 1 54,"[None, 'f5c5', 'c7b7', 'h8c8']"
rnb1kbnr/ppp2ppp/3q4/8/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 4,"[None, 'd1d6']"
2kr2nr/ppp2ppp/3b2b1/1B6/4P3/2N1nN2/PP3PPP/2R2RK1 w - - 0 12,"[None, 'f2e3', 'd6c5']"
2kr3r/ppp2ppp/3b2b1/1BnN4/8/1N2P3/PP4PP/2RR2K1 w - - 6 17,"[None, 'b3c5', 'g6h5']"
1k1r3r/p1p2ppp/Bp1b2b1/2NN4/8/4P3/PP4PP/2RR2K1 w - - 2 19,"[None, 'c5b7', 'g6h5', 'b7d8']"
1k2r3/p2r1ppp/1ppb4/1B6/NN2b3/4P3/PP4PP/2R1R1K1 w - - 0 23,"[None, 'b4c6', 'e4c6', 'b5c6', 'd7e7', 'c6e8', 'e7e8']"
1k2r3/p2r1ppp/1pbb4/1B6/N7/4P3/PP4PP/2R1R1K1 w - - 0 24,"[None, 'b5c6', 'd7d8', 'c6e8', 'd8e8']"
1k2r3/p1r2ppp/1pBb4/8/N7/4P3/PP4PP/2R1R1K1 w - - 1 25,"[None, 'c6e8', 'f7f6']"
4B3/pk1N1ppp/1b6/1p6/8/4P3/PP4PP/4R1K1 w - - 4 29,"[None, 'd7b6']"
r2qkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P1Bb1P/PP3PP1/RN1QKB1R w KQkq - 0 8,"[None, 'g2f3', 'g8h6']"
r2q1rk1/pp3pp1/1b2p3/3pn2Q/1P6/P6P/3N1PP1/R4RK1 w - - 2 21,"[None, 'h5e5', 'a8c8']"
r1bqkbnr/ppp2ppp/2np4/4P3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,"[None, 'e5d6', 'd8d6', 'd1d6']"
r1bnk1nr/ppp2ppp/8/4P3/1PP5/2b5/P3P1PP/RN2KBNR w KQkq - 0 10,"[None, 'b1c3', 'c8e6']"
r1bnk2r/ppp2ppp/8/3nP3/1PP5/8/P3P1PP/R3KBNR w KQkq - 0 12,"[None, 'c4d5', 'c8f5']"
r2nr1k1/ppp2ppp/8/3PP3/1P6/5bP1/P3P1BP/R3K2R w KQ - 0 16,"[None, 'g2f3', 'c7c6']"
6k1/R3r1pp/4n3/1P6/8/6P1/P4K1P/4r3 w - - 0 27,"[None, 'a7e7', 'g8f8', 'e7g7', 'e1e5']"
rnbq1rk1/ppp1bppp/3p1n2/4p1B1/2PPP3/2N2N2/PP3PPP/R2QKB1R w KQ - 0 7,"[None, 'd4e5', 'd6e5', 'd1d8']"
r1bq1rk1/pp3ppp/3p1b2/3Pp3/4P3/2Nn1N2/PP3PPP/R2QR1K1 w - - 0 13,"[None, 'd1d3', 'c8d7']"
r4rk1/1p4pp/1P1b4/p2Ppq1b/P3N3/3Q1P2/6PP/2R2R1K w - - 0 26,"[None, 'g2g4', 'h5g4', 'f3g4', 'f5g6', 'f1f8']"
r1r3k1/1p4pp/1P1b4/p2Ppq1b/P1Q1N3/5P2/6PP/2R2R1K w - - 2 27,"[None, 'e4d6', 'c8c4', 'd6f5', 'c4f4']"
r5k1/1p4pp/1P1b4/p2Ppq1b/P3N3/1Q3P2/6PP/2r2R1K w - - 0 28,"[None, 'f1c1', 'f5d7']"
r4k2/1p4pp/1P1b4/p3p3/P1Q1N1q1/8/7P/2R4K w - - 0 34,"[None, 'c1f1', 'g4f4', 'f1f4', 'e5f4', 'e4g5', 'f8e8', 'c4f7', 'e8d8', 'g5e6', 'd8c8', 'f7e8']"
r2qkb1r/ppp1pppp/5n2/3N1b2/1nPP4/5N2/PP2PPPP/R1BQKB1R w KQkq - 1 6,"[None, 'd5b4', 'e7e5']"
r2qk2r/ppp2ppp/8/4pb2/2PPn3/3BPN2/PP1b1PPP/R2QK2R w KQkq - 0 10,"[None, 'f3d2', 'e4f2', 'e1f2']"
r2qk2r/ppp2ppp/8/4pb2/2PP4/3BP3/PP1n1PPP/R2QK2R w KQkq - 0 11,"[None, 'd3f5', 'd8g5', 'f5d3', 'd2c4', 'd1a4', 'c7c6', 'a4c4', 'g5g2']"
r2qk2r/ppp2ppp/8/4p3/2PP4/3bP3/PP1Q1PPP/R3K2R w KQkq - 0 12,"[None, 'd2d3', 'e8g8']"
5r1k/ppp3p1/6qp/2PPr3/5p2/2Q2P2/PP4PP/4R1K1 w - - 0 23,"[None, 'e1e5', 'g6b1']"
7k/pp1P2p1/7p/2P5/3Q4/5P2/2q1r1PP/3R2K1 b - - 0 30,"[None, 'e2g2', 'g1h1', 'g2h2', 'h1g1']"
7k/pp1P2p1/7p/2P5/3Q4/5P2/2q4r/3R1K2 w - - 0 32,"[None, 'd7d8q', 'h8h7', 'd4g7', 'h7g7', 'd8e7', 'g7g6', 'd1d6', 'g6h5']"
3Q4/pp4pk/7p/2P5/4q3/5P2/7r/3R1K2 w - - 0 34,"[None, 'f3e4', 'h2h5']"
8/1pR3pk/4Q2p/2P5/p3P3/8/4K3/6r1 w - - 8 41,"[None, 'e6f5', 'g1g6', 'c7e7', 'a4a3', 'e7e6', 'a3a2', 'f5g6', 'h7h8', 'e6e8']"
6k1/1pR3p1/7p/2P2Q2/p3P3/8/4K3/6r1 w - - 10 42,"[None, 'c7c8']"
7k/1pR3p1/7p/2P2Q2/p3P3/8/4K3/6r1 w - - 16 45,"[None, 'c7c8']"
6k1/1p2R1p1/7p/2P2Q2/p3P3/8/4K3/6r1 w - - 18 46,"[None, 'e7e8']"
r1bqkb1r/ppp2ppp/2n2n2/1B1pp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 2 5,"[None, 'b2e5', 'f8d6', 'b5c6', 'b7c6', 'e5d6']"
r1bqk2r/p1p2ppp/2pb1n2/3pB3/8/1P2P3/P1PP1PPP/RN1QK1NR w KQkq - 1 7,"[None, 'e5d6']"
1r2r1k1/p1q2ppp/8/2pb4/3pn3/1P1P1Q1P/P1P1NPP1/R4RK1 w - - 0 19,"[None, 'd3e4']"
1r2r1k1/p4ppp/8/2p5/3pb3/1P4qP/P1P1NPP1/R4RK1 w - - 0 21,"[None, 'e2g3', 'e4c2']"
3rr1k1/p4ppp/8/2p5/5N2/1P4PP/P1bpR1P1/3R2K1 w - - 2 28,"[None, 'd1d2', 'c2b1', 'e2e8']"
3r2k1/p4ppp/8/2p5/5N2/1P4PP/P1bRr1P1/6K1 w - - 0 29,"[None, 'd2d8', 'e2e8', 'd8e8']"
r3k2r/p4ppp/2p2q2/2b1N3/8/3PP3/PPP3PP/R2b1RK1 w kq - 0 14,"[None, 'f1f6', 'g7f6', 'a1d1', 'f6e5']"
2r2rk1/p4ppp/2R5/4N3/8/3Pb3/PPP3PP/R2b1K2 w - - 1 17,"[None, 'a1d1', 'e3f4', 'c6c8', 'f8c8', 'e5c4']"
2r3k1/p4ppp/8/4N3/8/3Pb3/PPP3PP/R2b1K2 w - - 0 18,"[None, 'a1d1']"
r4rk1/p1b1qppp/2p2n2/P1n1pb2/2N1P3/2P2P2/2Q1B1PP/R1B2RK1 w - - 0 19,"[None, 'e4f5', 'e5e4']"
r4rk1/p1b1qppp/2p2n2/P4P2/2N1n3/2P5/2Q1B1PP/R1B2RK1 w - - 0 21,"[None, 'c1a3', 'e7d8', 'a3f8']"
r2r2k1/p4ppp/2p5/P7/2NBQ3/2P2K2/6Pq/R3b3 w - - 0 29,"[None, 'a1e1', 'h2h5']"
rnb1kbnr/pp3ppp/8/4P3/2p5/2N5/PP1q1PPP/R1BQKBNR w KQkq - 1 7,"[None, 'c1d2', 'f8c5', 'f1c4', 'c8e6', 'c4e6', 'f7e6']"
r3kbnr/pp1b1ppp/8/8/B7/2N5/Pn1BKPPP/R2Q2NR w kq - 2 12,"[None, 'a4d7']"
r3r1k1/pp1q1pp1/3p3p/n1p5/3Pn1b1/2PB4/PPQN1PPP/R3R1K1 w - - 0 16,"[None, 'd2e4']"
