FEN,Moves
2Q5/1Q6/8/8/8/k7/4K3/8 w - - 5 65,"[None, 'c8a8']"
rn1qk1nr/pp3ppp/2p1p3/3P1b2/3P1B2/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,"[None, 'b2c3']"
r2q1rk1/pp3ppp/2n1p3/2pnBb2/1bBP4/2N1PN2/PP3PPP/2RQK2R w K - 2 11,"[None, 'c4d5']"
r2q1rk1/pp3ppp/2n1p3/2p1Bb2/1bBP4/2n1PN2/PP3PPP/2RQ1RK1 w - - 0 12,"[None, 'b2c3', 'b4a3']"
r4rk1/p4ppp/1pn1p3/q1p1B3/2BP4/bQP1P3/P2N1PPP/1b3RK1 w - - 0 16,"[None, 'd2b1']"
r3r1k1/5p1p/4p1p1/ppP1n3/4B3/qNP1P3/P1Q2PPP/1R4K1 w - - 0 24,"[None, 'e4a8']"
r5k1/5p1p/4p1p1/2q5/3NQ3/p1P1P2P/P2n1PP1/1R4K1 w - - 3 30,"[None, 'e4a8', 'g8g7', 'd4e6', 'f7e6']"
Q7/5pkp/4p1p1/2q5/3N4/p1P1P2P/P2n1PP1/1R4K1 w - - 1 31,"[None, 'd4e6', 'g7f6', 'e6c5', 'd2b1']"
8/5pkp/6p1/3q4/5N2/p3PP1P/5P1K/8 w - - 0 40,"[None, 'f4d5', 'a3a2']"
rnbqkb1r/ppp2p1p/4pnp1/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,"[None, 'c4d5', 'e6d5', 'g5f6']"
3r1rk1/ppp2pbp/1q4p1/2N2b2/3n4/5N2/PP2BPPP/R2Q1RK1 w - - 0 15,"[None, 'f3d4', 'b6c5', 'd4f5']"
1r3rk1/pQp2p1p/6p1/b4b2/3q4/3N4/P3BPPP/1R1R2K1 w - - 1 21,"[None, 'b7b8']"
1r3rk1/2p2p1p/1b4p1/8/3q4/Q2b4/P3BPPP/1R1R2K1 w - - 0 23,"[None, 'a3d3']"
3rr1k1/2p2p1p/1b4p1/2q5/8/2Q5/P5PP/1R3R1K w - - 8 29,"[None, 'c3c5']"
8/2p4p/1b4pk/2q3r1/5Q2/8/P5PP/1R3R1K w - - 5 35,"[None, 'h2h4', 'h6h5', 'h4g5', 'c5g5']"
8/2b4p/2p3pk/2q3r1/5Q2/5R2/P5PP/4R2K w - - 2 37,"[None, 'f3h3', 'h6g7', 'f4c7', 'g7f6']"
8/2b3kp/2p3p1/2q3r1/5Q2/7R/P5PP/4R2K w - - 4 38,"[None, 'f4c7', 'g7f6', 'c7d8', 'f6g7']"
7k/2b4p/2p3p1/2q3r1/5Q2/7R/P5PP/5R1K w - - 6 39,"[None, 'f4f6', 'h8g8', 'f6f7', 'g8h8', 'h3h7']"
r2qkb1r/ppp2ppp/2n1p3/3p3b/3P2n1/2NBPN1P/PPP2P2/R1BQK2R w KQkq - 0 8,"[None, 'h3g4']"
r2q1rk1/ppp1bppp/2n1p3/3pP3/3P4/2N5/PPP1bP1N/R1BQK1R1 w Q - 0 14,"[None, 'c3e2', 'f7f6']"
r2q1rk1/ppp2ppp/4p3/3pPnbQ/8/2N5/PPP2P1N/R3K1R1 w Q - 0 17,"[None, 'g1g5', 'f7f6', 'e5f6', 'f8f6', 'h2g4', 'f6g6', 'g5g6', 'h7g6', 'h5g6', 'd8e7']"
r2q1rk1/5pp1/p3p2p/3pPn1Q/1pp2NN1/8/PPP2P2/2KR2R1 w - - 0 23,"[None, 'g4h6', 'f5h6', 'h5h6', 'g7g5', 'f4h5', 'b4b3', 'h6g7']"
r2q1rk1/5pp1/p3p2n/3pP2Q/1pp2N2/8/PPP2P2/2KR2R1 w - - 0 24,"[None, 'h5h6', 'g7g5', 'f4h5', 'b4b3', 'h6g7']"
r2q1rk1/5p2/p3p1pQ/3pP3/1pp2N2/8/PPP2P2/2KR2R1 w - - 0 25,"[None, 'g1h1', 'd8h4', 'h1h4', 'b4b3']"
r2q1rk1/8/p3p1pQ/3pP3/1pp5/8/PPP2P2/2KR2R1 w - - 0 26,"[None, 'h6g6', 'g8h8']"
3rr1k1/pp3ppp/2n3b1/3qp3/6P1/bN1P1P1P/1PP1Q1B1/2KR3R w - - 0 18,"[None, 'b2a3', 'c6d4', 'b3d4', 'e5d4']"
3rr1k1/pp3ppp/2n3b1/4p3/1q3PP1/1N1PK2P/2P1Q1B1/3R3R b - - 3 21,"[None, 'b4f4']"
